HD1,2,2,1.099E7,2.198E7
HD1,1,1,5890000.0,5890000.0
HD2,5,3,380000.0,1140000.0
HD3,17,3,8990000.0,2.697E7
HD4,19,1,4.199E7,4.199E7
HD5,14,3,1.979E7,5.937E7
HD6,4,20,5990000.0,1.198E8
HD7,4,5,5990000.0,2.995E7
HD8,20,4,2890000.0,1.156E7
HD9,11,2,1.999E7,3.998E7
HD10,6,3,550000.0,1650000.0
HD11,3,1,4390000.0,4390000.0
HD12,8,1,650000.0,650000.0
HD12,9,4,3290000.0,1.316E7
HD13,12,7,3.429E7,2.4003E8
HD13,5,1,380000.0,380000.0
HD14,6,1,550000.0,550000.0
HD15,1,2,5890000.0,1.178E7
HD16,3,2,4390000.0,8780000.0
HD17,14,1,1.979E7,1.979E7
HD18,15,1,1.729E7,1.729E7
HD18,1,1,5890000.0,5890000.0
HD18,2,1,1.099E7,1.099E7
HD19,19,1,4.199E7,4.199E7
HD19,20,2,2890000.0,5780000.0
HD19,7,1,680000.0,680000.0
HD19,9,1,3290000.0,3290000.0
HD19,15,1,1.729E7,1.729E7
HD20,12,1,3.429E7,3.429E7
HD20,16,2,1.159E7,2.318E7
